window_size,start_point,end_point,accuracy
250,0,250,tensor(0.9570957422)
250,250,500,tensor(0.9718805552)
250,500,750,tensor(0.9851485491)
250,750,1000,tensor(0.7870620489)
300,0,300,tensor(0.9521452188)
300,300,600,tensor(0.8481848240)
300,600,900,tensor(0.8861386180)
330,0,330,tensor(0.9834983349)
330,330,660,tensor(0.8481848240)
330,660,990,tensor(0.9224422574)
