accuracy,precision,recall,f1_score
0.898840579710145,0.7729004962641361,0.9452767688996503,0.7792707625043456
0.8018840579710145,0.7343369062631357,0.8965647699757869,0.7049437297263732
0.9446376811594203,0.7984056303908835,0.9272010357815441,0.8199999562742161
0.8349275362318841,0.7234175734175734,0.9138165859564165,0.7161841146948309
0.8292753623188406,0.7333263485009627,0.910865617433414,0.7188411932256705
0.8794202898550725,0.7651769087523278,0.937046004842615,0.763541639080717
0.8431884057971014,0.7343313458262352,0.9181295399515739,0.7268222202722371
0.9239130434782609,0.794906291814041,0.956458501479688,0.8073692023395659
0.9381159420289855,0.8014889325203305,0.9600568334678504,0.8218461459095653
0.8933333333333333,0.7695955949684461,0.9404930051116492,0.7738697677637605
0.9253623188405797,0.7933242620031591,0.9438559322033899,0.8057606793097299
0.8639130434782609,0.7432259182259182,0.9289497578692494,0.7431054838664443
0.9611594202898551,0.8140199979443685,0.9091084880279796,0.8382878172524568
0.9017391304347826,0.7774576237394203,0.9448816249663707,0.7831635812190982
0.9765217391304348,0.8389534601451768,0.8598752354048965,0.8484652329694657
0.8295652173913044,0.7181629206184228,0.9110169491525424,0.710260532334229
0.7985507246376812,0.7553935093942977,0.8948244552058111,0.7142393953641957
0.8071014492753623,0.6985583444331749,0.8992887409200968,0.6864718353530961
0.8633333333333333,0.7399720444561332,0.9286470944309927,0.740998501392487
0.8250724637681159,0.7075835342033081,0.9086713075060533,0.7014608325855248
0.8527536231884058,0.7643834876847442,0.9193065644336831,0.7475479349801216
