window_size,start_point,end_point,train_time,test_time
40,570,610,107.52366089820862,12.62563705444336
40,610,650,76.7069239616394,11.425010442733765
40,650,690,114.90180802345276,11.688643217086792
40,690,730,88.1894588470459,11.52999496459961
40,730,770,231.50880360603333,11.848386287689209
40,770,810,108.87415409088135,12.189993619918823
40,810,850,128.61352014541626,11.705033302307129
40,850,890,209.55363392829895,16.432512521743774
40,890,930,48.710901737213135,11.65868067741394
40,930,970,52.49635696411133,11.772170543670654
40,970,1010,215.83906030654907,12.220458745956421
40,1010,1050,191.66435384750366,12.631866693496704
40,1050,1090,129.4432451725006,12.014448642730713
40,1090,1130,49.908493995666504,11.65798807144165
40,1130,1170,160.83216071128845,12.315895795822144
40,1170,1210,146.30297207832336,13.069829940795898
40,1210,1250,223.0733344554901,11.831234216690063
40,1250,1290,104.18912959098816,12.47891879081726
40,1290,1330,93.30294346809387,11.737646341323853
40,1330,1370,315.40978240966797,11.97747254371643
40,1370,1410,116.13400506973267,11.903855562210083
40,1410,1450,52.82318568229675,12.188646078109741
40,1450,1490,112.37972688674927,12.114545345306396
40,1490,1530,189.9374258518219,12.295879364013672
40,1530,1570,52.66724348068237,12.022687911987305
80,570,650,135.35202264785767,12.02202582359314
80,650,730,151.81503748893738,14.246374368667603
80,730,810,138.97731137275696,11.669158935546875
80,810,890,197.8140013217926,12.009190559387207
80,890,970,194.04468441009521,12.239162683486938
80,970,1050,174.65997004508972,12.372596979141235
80,1050,1130,87.69941282272339,12.472938537597656
80,1130,1210,209.5216977596283,12.214224576950073
80,1210,1290,152.34091234207153,12.07079815864563
80,1290,1370,59.65782141685486,15.002279281616211
80,1370,1450,151.92632746696472,13.714231252670288
80,1450,1530,155.67387080192566,14.018208980560303
160,570,730,144.0331847667694,11.991759300231934
160,730,890,157.63172817230225,12.700234413146973
160,890,1050,156.3256242275238,13.5543372631073
160,1050,1210,206.37162446975708,13.650684118270874
160,1210,1370,140.54596138000488,12.096435785293579
160,1370,1530,142.20694303512573,13.46254825592041
320,570,890,3293.382099866867,15.897860288619995
320,890,1210,6344.577066898346,16.710938453674316
320,1210,1530,3662.083657026291,28.8344464302063
1015,563,1578,234.42127752304077,15.050089836120605
1015,563,1578,916.6181664466858,9.520794153213501
1015,563,1578,829.6931674480438,9.261790752410889
1015,563,1578,2182.176824569702,36.600191593170166
1015,563,1578,720.0107426643372,771.3198902606964
1015,563,1578,944.2258975505829,368.5717189311981
1015,563,1578,1191.3073921203613,179.75688362121582
1015,563,1578,1224.6255836486816,69.63064336776733
1015,563,1578,801.3284840583801,270.7229907512665
1015,563,1578,2703.7498004436493,4808.434881448746
1015,563,1578,822.7128398418427,127.62619256973267
1015,563,1578,1676.1588656902313,8.513830423355103
1015,563,1578,3562.013269662857,8.431246042251587
1015,563,1578,671.5363264083862,8.401928901672363
1015,563,1578,756.730717420578,8.736794233322144
1015,563,1578,1718.237639427185,8.769545316696167
1015,563,1578,3011.040318250656,8.458799362182617
1015,563,1578,1100.1291871070862,8.306731700897217
1015,563,1578,1617.1702167987823,8.345677852630615
1015,563,1578,798.666365146637,8.395157098770142
1015,563,1578,1762.573736667633,8.776969909667969
1015,563,1578,2294.620297908783,8.806727886199951
1015,563,1578,1143.0515415668488,8.366422176361084
1015,563,1578,1066.4378731250763,8.344427824020386
1015,563,1578,1237.3975493907928,8.708853960037231
1015,563,1578,645.0487670898438,8.604964971542358
1015,563,1578,2889.9461674690247,8.462057828903198
1015,563,1578,2015.9628458023071,8.536240816116333
1015,563,1578,1604.8796243667603,8.47041392326355
1015,563,1578,1036.4916322231293,8.4415283203125
1015,563,1578,631.9690299034119,8.847514867782593
1015,563,1578,821.1190266609192,15.870836019515991
